country,neoMR,postneoMR,age1_5MR,under5MR
Mozambique,39.029999,57.470001,43.509998,133.67
Mauritania,33.209999,22.68,32.150002,85.510002
Mauritius,9.3100004,2.9400001,0.74000001,12.95
Malawi,26.93,35.43,37.689999,96.779999
Malaysia,3.6500001,1.09,0.37,5.0999999
Namibia,22.48,16.379999,17.07,54.91
Niger,31.299999,43.369999,94.709999,161.08
Nigeria,41.27,40.52,83.540001,156.98
Nicaragua,11.28,11.38,4.1599998,26.6
Netherlands,2.75,1.08,0.44,4.2600002
Norway,1.95,1.03,0.40000001,3.3699999
Nepal,25.379999,12.65,9.96,47.290001
New Zealand,2.73,2.47,0.58999997,5.7800002
Oman,6.5500002,2.1800001,0.56999999,9.29
Pakistan,42.709999,24.32,15.35,80.330002
Panama,8.8699999,6.6100001,2.5699999,17.950001
Peru,11.32,8.1599998,5.3299999,24.620001
Philippines,13.31,8.5200005,7.04,28.610001
Papua New Guinea,39.32,30.43,15.17,82.68
Poland,4.3800001,1.58,0.47999999,6.4400001
"Korea, Democratic People's Republic of",21.120001,9.9099998,2.6400001,33.380001
Portugal,1.92,0.92000002,0.49000001,3.3199999
Paraguay,10.27,7.3400002,3.48,20.950001
Occupied Palestinian Territory,13.15,6.5999999,2.46,22.07
Qatar,7.1900001,2.5899999,0.74000001,10.49
Romania,6.2199998,7.4400001,1.62,15.21
Russian Federation,8.1899996,4.7800002,1.59,14.5
Rwanda,31.950001,30.950001,43.73,102.93
Saudi Arabia,9.5699997,4.1199999,1.35,14.98
Sudan,30.34,24.34,40.290001,92.059998
Senegal,29.17,19.83,40.060001,86.540001
Singapore,1.27,0.86000001,0.36000001,2.5
Solomon Islands,15.8,9.7299995,4.1199999,29.379999
Sierra Leone,38.639999,55,52.34,139.06
El Salvador,9.25,7.6700001,2.4200001,19.219999
Somalia,32.639999,37.349998,45.740002,111.37
Serbia,2.74,0.98000002,0.31999999,4.04
Sao Tome and Principe,21.23,18.41,23.85,62.16
Suriname,19.450001,11.42,5.04,35.529999
Slovakia,3.75,2.23,0.67000002,6.6399999
Slovenia,2.05,0.79000002,0.37,3.2
Sweden,1.54,0.86000001,0.27000001,2.6800001
Swaziland,22.9,43.5,38.27,101.17
Seychelles,8.2399998,3.0899999,1.22,12.51
Syrian Arab Republic,7.6700001,2.9300001,0.86000001,11.44
Chad,41.529999,53.52,83.629997,168.69
Togo,30.059999,24.030001,40.200001,91.419998
Thailand,6.48,1.77,0.64999998,8.8800001
Tajikistan,21.559999,21.33,7.6300001,49.73
Turkmenistan,13.67,8.9899998,3.5899999,26.040001
Timor-Leste,26.77,20.74,17.040001,63.200001
Tonga,10.83,6.0999999,2.3699999,19.209999
Trinidad and Tobago,17.360001,5.7800002,2.46,25.440001
Tunisia,9.3800001,4.2399998,1.63,15.19
Turkey,16.389999,9.6899996,3.3499999,29.18
"Taiwan, Province of China",3.6199999,1.97,0.61000001,6.1900001
"Tanzania, United Republic of",28.309999,37.490002,36.029999,98.440002
Uganda,31.93,40.540001,48.970001,116.65
Ukraine,9.8699999,3.6900001,1.99,15.49
Uruguay,6.21,4.4499998,0.88,11.5
United States,3.9300001,2.1500001,0.60000002,6.6799998
Uzbekistan,17.85,15.84,10.47,43.529999
Saint Vincent and the Grenadines,13.11,7.2199998,3.03,23.190001
Venezuela,9.2600002,5.4400001,1.4299999,16.059999
Viet Nam,8.3299999,2.48,2.1199999,12.88
Vanuatu,12.73,7.4400001,2.99,23.01
Samoa,10.55,5.8499999,2.3099999,18.610001
Yemen,27.799999,21.25,12.11,59.98
South Africa,16.32,22.85,12.61,50.919998
Zambia,28.5,41.099998,54.049999,118.77
Zimbabwe,22.610001,24.450001,25.09,70.43
